tj_id,c,1b,2b,ss,3b,of,util,sp,rp
sethhalvorsen,False,False,False,False,False,False,False,False,True
jasonadam,False,False,False,False,False,False,False,False,True
masynwinn,False,False,False,True,False,False,True,False,False
graysonrodriguez,False,False,False,False,False,False,False,True,False
ryanohearn,False,True,False,False,False,True,True,False,False
coltoncowser,False,False,False,False,False,True,True,False,False
eriksabrowski,False,False,False,False,False,False,False,False,True
giancarlostanton,False,False,False,False,False,True,True,False,False
gregorysoto,False,False,False,False,False,False,False,False,True
jamesontaillon,False,False,False,False,False,False,False,True,False
austinwells,True,False,False,False,False,False,True,False,False
colsonmontgomery,False,False,False,True,False,False,True,False,False
orionkerkering,False,False,False,False,False,False,False,False,True
josebutto,False,False,False,False,False,False,False,False,True
joshlowe,False,False,False,False,False,True,True,False,False
braxtonashcraft,False,False,False,False,False,False,False,True,True
keeganakin,False,False,False,False,False,False,False,False,True
calebthielbar,False,False,False,False,False,False,False,False,True
zachmckinstry,False,False,False,True,True,True,True,False,False
quinnpriester,False,False,False,False,False,False,False,True,False
chasemeidroth,False,False,True,True,False,False,True,False,False
jackdreyer,False,False,False,False,False,False,False,True,True
andresgimenez,False,False,True,False,False,False,True,False,False
justintopa,False,False,False,False,False,False,False,False,True
spencersteer,False,True,False,False,False,False,True,False,False
gavinsheets,False,False,False,False,False,True,True,False,False
joeycantillo,False,False,False,False,False,False,False,True,True
markleiterjr,False,False,False,False,False,False,False,False,True
jaccaglianone,False,False,False,False,False,True,True,False,False
josecaballero,False,False,True,True,True,True,True,False,False
isaacmattson,False,False,False,False,False,False,False,False,True
ericlauer,False,False,False,False,False,False,False,True,True
jeffreysprings,False,False,False,False,False,False,False,True,False
munetakamurakami,False,False,False,False,True,False,True,False,False
jaredkoenig,False,False,False,False,False,False,False,False,True
brandonpfaadt,False,False,False,False,False,False,False,True,False
tylerfreeman,False,False,False,False,False,True,True,False,False
lenynsosa,False,True,True,False,False,False,True,False,False
caseyschmitt,False,False,True,False,True,False,True,False,False
tylerkinley,False,False,False,False,False,False,False,False,True
andrewpainter,False,False,False,False,False,False,False,True,False
jtrealmuto,True,False,False,False,False,False,True,False,False
brettbaty,False,False,True,False,True,False,True,False,False
ianseymour,False,False,False,False,False,False,False,True,True
kylemanzardo,False,True,False,False,False,False,True,False,False
joejimenez,False,False,False,False,False,False,False,False,True
jorgesoler,False,False,False,False,False,True,True,False,False
brookslee,False,False,True,True,True,False,True,False,False
lucasgiolito,False,False,False,False,False,False,False,True,False
zacklittell,False,False,False,False,False,False,False,True,False
bryanking,False,False,False,False,False,False,False,False,True
trevorlarnach,False,False,False,False,False,True,True,False,False
brandonmarsh,False,False,False,False,False,True,True,False,False
jonahtong,False,False,False,False,False,False,False,True,False
luisrengifo,False,False,True,False,True,False,True,False,False
harrisonbader,False,False,False,False,False,True,True,False,False
willsoncontreras,False,True,False,False,False,False,True,False,False
bryanbaker,False,False,False,False,False,False,False,False,True
ajblubaugh,False,False,False,False,False,False,False,False,True
johnschreiber,False,False,False,False,False,False,False,False,True
elvisalvarado,False,False,False,False,False,False,False,False,True
mikeyastrzemski,False,False,False,False,False,True,True,False,False
joshjung,False,False,False,False,True,False,True,False,False
jonathanaranda,False,True,False,False,False,False,True,False,False
jimmyherget,False,False,False,False,False,False,False,False,True
willwarren,False,False,False,False,False,False,False,True,False
