,name,name_ascii,fg_id,mlb_id,espn_id,tj_id
333,Ozzie Albies,Ozzie Albies,16556,645277,33783,ozziealbies
334,Alex Verdugo,Alex Verdugo,17027,657077,33786,alexverdugo
335,Cole Tucker,Cole Tucker,17326,657061,33789,coletucker
336,Touki Toussaint,Touki Toussaint,16929,657053,33790,toukitoussaint
337,Erick Fedde,Erick Fedde,17425,607200,33793,erickfedde
338,J.D. Davis,J.D. Davis,16219,605204,33796,jddavis
339,Tyler Beede,Tyler Beede,16981,595881,33798,tylerbeede
340,Gleyber Torres,Gleyber Torres,16997,650402,33804,gleybertorres
341,Luis Torrens,Luis Torrens,15905,620443,33805,luistorrens
342,Edmundo Sosa,Edmundo Sosa,17022,624641,33809,edmundososa
343,Scott Blewett,Scott Blewett,16427,656240,33816,scottblewett
344,Jakson Reetz,Jakson Reetz,17837,656883,33819,jaksonreetz
345,Miguel Castro,Miguel Castro,15684,612434,33820,miguelcastro
346,Ricardo Pinto,Ricardo Pinto,16318,620982,33821,ricardopinto
347,Dom Nuñez,Dom Nunez,15055,624513,33826,domnunez
348,José De León,Jose De Leon,15463,592254,33831,josedeleon
349,Jorge Mateo,Jorge Mateo,17273,622761,33832,jorgemateo
350,Jorge López,Jorge Lopez,14527,605347,33833,jorgelopez
351,Jack Flaherty,Jack Flaherty,17479,656427,33837,jackflaherty
352,Brent Honeywell,Brent Honeywell,16466,641703,33838,brenthoneywell
353,Kyle Freeland,Kyle Freeland,16256,607536,33839,kylefreeland
354,Grant Holmes,Grant Holmes,16944,656550,33840,grantholmes
355,Jeff Hoffman,Jeff Hoffman,17432,656546,33841,jeffhoffman
356,Jonah Heim,Jonah Heim,16930,641680,33842,jonahheim
357,Dylan Floro,Dylan Floro,13394,571670,33852,dylanfloro
358,Sean Newcomb,Sean Newcomb,16943,656794,33856,seannewcomb
359,Matt Chapman,Matt Chapman,16505,656305,33857,mattchapman
360,Rafael Devers,Rafael Devers,17350,646240,33859,rafaeldevers
361,Reynaldo López,Reynaldo Lopez,16400,625643,33860,reynaldolopez
362,Eloy Jiménez,Eloy Jimenez,17484,650391,33867,eloyjimenez
363,Tyler Wade,Tyler Wade,15730,642180,33878,tylerwade
364,Jeff McNeil,Jeff McNeil,15362,643446,33900,jeffmcneil
365,Cody Bellinger,Cody Bellinger,15998,641355,33912,codybellinger
