tj_id,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e,total_25
joeryan,467.82429,481.5,13.675709999999981,474.662145,473.5,-5.675709999999981,506.5
jacksonmerrill,471.58483,473.58833,2.003499999999974,472.58658,459.0,12.58483000000001,366.0
romananthony,473.95275000000004,470.50469000000004,-3.448059999999998,472.22872000000007,546.0,-72.04724999999996,252.0
georgekirby,446.00172,498.0,51.99828000000002,472.00086,468.5,-22.498280000000022,351.5
sonnygray,457.86710999999997,485.0,27.13289000000003,471.43355499999996,479.0,-21.13289000000003,508.3
dansbyswanson,469.55699,472.79884,3.2418499999999995,471.177915,490.0,-20.443010000000015,496.0
vinniepasquantino,477.01146,462.910076,-14.101383999999996,469.96076800000003,547.0,-69.98854,538.0
coleragans,438.536955,501.0,62.46304500000002,469.7684775,435.0,3.5369549999999776,181.8
alexbregman,471.9522400000001,466.649885,-5.302355000000091,469.30106250000006,490.0,-18.047759999999926,388.0
jeremypena,469.76461000000006,468.24080000000004,-1.5238100000000259,469.00270500000005,489.0,-19.23538999999994,452.0
yandydiaz,456.97046199999994,478.12673600000005,21.15627400000011,467.54859899999997,466.0,-9.02953800000006,512.0
danielpalencia,443.54888500000004,491.5,47.95111499999996,467.5244425,452.5,-8.951114999999959,348.3
eugeniosuarez,464.83098799999993,467.40719,2.5762020000000803,466.119089,562.0,-97.16901200000007,588.0
georgespringer,461.60122000000007,469.99487999999997,8.393659999999898,465.79805,506.0,-44.39877999999993,580.0
williamcontreras,464.822932,463.81138000000004,-1.0115519999999378,464.317156,514.0,-49.17706800000002,490.0
brandonnimmo,463.53209000000004,464.32412,0.7920299999999543,463.928105,525.0,-61.46790999999996,512.0
jacobdegrom,433.124645,494.0,60.87535500000001,463.5623225,453.0,-19.875355000000013,512.3
freddyperalta,465.23043,461.5,-3.7304300000000126,463.36521500000003,501.5,-36.26956999999999,574.8
codybellinger,474.64572,448.84318,-25.802539999999965,461.74445000000003,498.0,-23.354280000000017,554.0
carlosestevez,473.99587,447.5,-26.495870000000025,460.747935,517.5,-43.504129999999975,591.0
christianyelich,464.53450000000004,456.76941000000005,-7.7650899999999865,460.65195500000004,543.0,-78.46549999999996,552.0
joshnaylor,479.870999,441.38895700000006,-38.48204199999992,460.62997800000005,516.0,-36.12900100000002,536.0
kevingausman,460.839255,460.0,-0.8392549999999801,460.4196275,501.0,-40.16074500000002,499.0
byronbuxton,463.51905,457.3061900000001,-6.212859999999921,460.41262000000006,490.0,-26.480950000000007,545.0
trevorstory,457.16801,459.79436000000004,2.626350000000059,458.481185,473.0,-15.831990000000019,554.0
cjabrams,465.39495999999997,449.2702699999999,-16.124690000000044,457.3326149999999,505.0,-39.60504000000003,516.0
yoshinobuyamamoto,467.87213999999994,445.0,-22.872139999999945,456.43607,516.5,-48.627860000000055,535.3
ezequieltovar,451.65413,459.39889,7.744759999999985,455.52651000000003,448.0,3.654130000000009,253.0
gleybertorres,455.837083,453.66823600000004,-2.168846999999971,454.75265950000005,449.0,6.837083000000007,456.0
spencertorkelson,456.00525500000003,450.59740500000004,-5.407849999999996,453.30133,521.0,-64.99474499999997,502.0
bryanreynolds,452.40491,452.82478000000003,0.4198700000000599,452.614845,485.0,-32.59509000000003,447.0
joadell,448.27875,456.54052,8.261770000000013,452.409635,471.0,-22.721249999999998,469.0
huntergoodman,450.35271,452.54692,2.194209999999998,451.449815,464.0,-13.647289999999998,484.0
michaelbusch,462.84703999999994,439.23286,-23.61417999999992,451.03995,506.0,-43.152960000000064,516.0
oneilcruz,441.10005,460.48021000000006,19.380160000000046,450.79013000000003,482.0,-40.89994999999999,445.0
luiscastillo,437.76785500000005,462.5,24.732144999999946,450.1339275,478.0,-40.232144999999946,451.8
coreyseager,444.17390199999994,455.689095,11.515193000000068,449.9314985,479.0,-34.82609800000006,365.0
tannerbibee,437.45500999999996,462.0,24.54499000000004,449.72750499999995,452.5,-15.044990000000041,455.2
bobichette,452.16796,444.5105,-7.657460000000015,448.33923,473.0,-20.832040000000006,504.0
ryanpepiot,423.779805,471.5,47.72019499999999,447.6399025,447.0,-23.22019499999999,439.8
heliotramos,435.54663,459.39574999999996,23.84911999999997,447.47119,488.0,-52.45337000000001,483.0
tylersoderstrom,446.27302999999995,446.58562000000006,0.31259000000011383,446.429325,499.0,-52.72697000000005,511.0
ryanhelsley,468.540415,423.0,-45.540414999999996,445.77020749999997,432.5,36.040414999999996,343.5
josealtuve,450.937892,439.78356399999996,-11.154328000000021,445.360728,479.0,-28.062108000000023,496.0
jordanwestburg,444.78464999999994,445.58598,0.801330000000064,445.18531499999995,426.0,18.784649999999942,275.0
michaelking,419.26892,471.0,51.73108000000002,445.13446,384.5,34.76891999999998,203.7
munetakamurakami,429.99745900000005,458.135336,28.137876999999946,444.0663975,415.0,14.997459000000049,0.0
benrice,444.51450000000006,441.65484,-2.8596600000000763,443.08467,476.0,-31.485499999999945,437.0
teoscarhernandez,436.49805000000003,447.0941000000001,10.596050000000048,441.7960750000001,480.0,-43.501949999999965,425.0
kylestowers,450.83306,432.55726999999996,-18.27579000000003,441.695165,446.0,4.833059999999989,414.0
andypages,440.76882,442.5572699999999,1.788449999999898,441.66304499999995,470.0,-29.231179999999995,493.0
