tjid,fgId,NameASCII,org,pos,age,jersey
markleiterjr,15551,Mark Leiter Jr.,ATH,RP,35,38
jaccaglianone,35041,Jac Caglianone,KCR,OF,23,14
josecaballero,23401,Jose Caballero,NYY,OF,29,72
isaacmattson,20385,Isaac Mattson,PIT,RP,30,72
ericlauer,19316,Eric Lauer,TOR,SP,31,56
jeffreysprings,17677,Jeffrey Springs,ATH,SP,33,59
jaredkoenig,27517,Jared Koenig,MIL,RP,32,47
brandonpfaadt,27782,Brandon Pfaadt,ARI,SP,27,32
tylerfreeman,22532,Tyler Freeman,COL,OF,27,2
lenynsosa,22896,Lenyn Sosa,CHW,2B,26,50
caseyschmitt,27577,Casey Schmitt,SFG,2B,27,10
tylerkinley,18297,Tyler Kinley,ATL,RP,35,45
jtrealmuto,11739,J.T. Realmuto,PHI,C,35,10
brettbaty,26123,Brett Baty,NYM,3B,26,7
ianseymour,27932,Ian Seymour,TBR,RP,27,61
kylemanzardo,29794,Kyle Manzardo,CLE,DH,25,9
jorgesoler,14221,Jorge Soler,LAA,OF,34,12
brookslee,31595,Brooks Lee,MIN,SS,25,22
lucasgiolito,15474,Lucas Giolito,FA,SP,31,54
zacklittell,15823,Zack Littell,FA,SP,30,52
bryanking,25890,Bryan King,HOU,RP,29,74
trevorlarnach,21501,Trevor Larnach,MIN,DH,29,9
brandonmarsh,20202,Brandon Marsh,PHI,OF,28,16
jonahtong,32157,Jonah Tong,NYM,SP,23,21
luisrengifo,19858,Luis Rengifo,FA,3B,29,2
harrisonbader,18030,Harrison Bader,SFG,OF,32,9
willsoncontreras,11609,Willson Contreras,BOS,1B,34,40
bryanbaker,19804,Bryan Baker,TBR,RP,31,47
ajblubaugh,31764,AJ Blubaugh,HOU,RP,25,69
johnschreiber,20020,John Schreiber,KCR,RP,32,46
elvisalvarado,21662,Elvis Alvarado,ATH,RP,27,61
mikeyastrzemski,14854,Mike Yastrzemski,ATL,OF,35,18
joshjung,26299,Josh Jung,TEX,3B,28,6
jonathanaranda,21837,Jonathan Aranda,TBR,1B,28,8
jimmyherget,17556,Jimmy Herget,COL,RP,32,44
willwarren,30182,Will Warren,NYY,SP,27,98
ryanjeffers,24618,Ryan Jeffers,MIN,C,29,27
anthonybender,19742,Anthony Bender,MIA,RP,31,37
evancarter,27790,Evan Carter,TEX,OF,23,32
ryanmcmahon,15112,Ryan McMahon,NYY,3B,31,19
brooksraley,10061,Brooks Raley,NYM,RP,38,25
dylanbeavers,31695,Dylan Beavers,BAL,OF,24,12
hunterharvey,15507,Hunter Harvey,CHC,RP,31,45
justinsteele,17312,Justin Steele,CHC,SP,30,35
marcelomayer,29668,Marcelo Mayer,BOS,3B,23,11
parkermessick,31986,Parker Messick,CLE,SP,25,77
ajminter,18655,A.J. Minter,NYM,RP,32,33
drewpomeranz,11426,Drew Pomeranz,LAA,RP,37,13
austinhays,19363,Austin Hays,CHW,OF,30,12
jordanromano,16122,Jordan Romano,LAA,RP,33,68
eduardbazardo,20997,Eduard Bazardo,SEA,RP,30,83
carmenmlodzinski,27572,Carmen Mlodzinski,PIT,RP,27,50
mikeburrows,24728,Mike Burrows,HOU,SP,26,50
brendonlittle,21574,Brendon Little,TOR,RP,29,54
deankremer,19350,Dean Kremer,BAL,SP,30,64
spencerhorwitz,26477,Spencer Horwitz,PIT,1B,28,2
joeyortiz,25493,Joey Ortiz,MIL,SS,27,3
franciscoalvarez,26121,Francisco Alvarez,NYM,C,24,4
chrismartin,11847,Chris Martin,TEX,RP,40,55
simeonwoodsrichardson,24494,Simeon Woods Richardson,MIN,SP,25,24
stevenokert,13580,Steven Okert,HOU,RP,34,48
tyleroneill,15711,Tyler O'Neill,BAL,OF,31,9
mattfesta,19330,Matt Festa,CLE,RP,33,52
parkermeadows,23800,Parker Meadows,DET,OF,26,22
braydonfisher,24609,Braydon Fisher,TOR,RP,25,63
carsonkelly,13620,Carson Kelly,CHC,C,31,15
miguelandujar,15878,Miguel Andujar,FA,3B,31,38
chadpatrick,30113,Chad Patrick,MIL,SP,27,39
joseberrios,14168,Jose Berrios,TOR,SP,32,17
connorphillips,27649,Connor Phillips,CIN,RP,25,34
zacheflin,13774,Zach Eflin,BAL,SP,32,24
