tjid,NameASCII,fgId,Name,Org,Pos,PlayerId,Age,_merge
daeyukim,Dae-yu Kim,sa3012179,,,,,,left_only
hoonjung,Hoon Jung,sa3012191,,,,,,left_only
taegonoh,Tae-gon Oh,sa3012193,,,,,,left_only
siyoungpark,Si-young Park,sa3012194,,,,,,left_only
taeyanglee,Tae-yang Lee,sa3012211,,,,,,left_only
jonghunpark,Jong-hun Park,sa3012213,,,,,,left_only
chankyuim,Chan-kyu Im,sa3012220,,,,,,left_only
kangnamyoo,Kang-nam Yoo,sa3012221,,,,,,left_only
woochanlee,Woo-chan Lee,sa3012225,,,,,,left_only
hyunyang,Hyun Yang,sa3012238,,,,,,left_only
jongwookko,Jong-wook Ko,sa3012243,,,,,,left_only
daewookim,Dae-woo Kim,sa3012247,,,,,,left_only
geonhuihong,Geon-hui Hong,sa3012262,,,,,,left_only
seunghyukhan,Seung-hyuk Han,sa3012265,,,,,,left_only
jinyongseo,Jin-yong Seo,sa3012277,,,,,,left_only
sunghoonchoi,Sung-hoon Choi,sa3012284,,,,,,left_only
jihyukryu,Ji-hyuk Ryu,sa3012288,,,,,,left_only
seihyokpark,Sei-hyok Park,sa3012290,,,,,,left_only
jaehyunkim,Jae-hyun Kim,sa3012294,,,,,,left_only
taehoonkim,Tae-hoon Kim,sa3012298,,,,,,left_only
hyunheehan,Hyun-hee Han,sa3012299,,,,,,left_only
jawookkoo,Ja-wook Koo,sa3012300,,,,,,left_only
haeminpark,Hae-min Park,sa3012304,,,,,,left_only
wonjungkim,Won-jung Kim,sa3012308,,,,,,left_only
juntaekim,Jun-tae Kim,sa3012310,,,,,,left_only
jusukha,Ju-suk Ha,sa3012320,,,,,,left_only
giyeongim,Gi-yeong Im,sa3012323,,,,,,left_only
seungwookpark,Seung-wook Park,sa3012327,,,,,,left_only
seungwonmoon,Seung-won Moon,sa3012330,,,,,,left_only
hangchoi,Hang Choi,sa3012332,,,,,,left_only
yooseomhan,Yoo-seom Han,sa3012336,,,,,,left_only
minwoopark,Min-woo Park,sa3012337,,,,,,left_only
jinsungkang,Jin-sung Kang,sa3012344,,,,,,left_only
jinhyukno,Jin-hyuk No,sa3012348,,,,,,left_only
seongukkim,Seong-uk Kim,sa3012349,,,,,,left_only
sungbumna,Sung-bum Na,sa3012352,,,,,,left_only
hyeongbeomlee,Hyeong-beom Lee,sa3012353,,,,,,left_only
seunghokang,Seung-ho Kang,sa3012361,,,,,,left_only
jaejunebae,Jae-june Bae,sa3012364,,,,,,left_only
seunghyunjang,Seung-hyun Jang,sa3012365,,,,,,left_only
deokjuham,Deok-ju Ham,sa3012366,,,,,,left_only
intaekim,In-tae Kim,sa3012367,,,,,,left_only
woosunglee,Woo-sung Lee,sa3012368,,,,,,left_only
sangwoocho,Sang-woo Cho,sa3012372,,,,,,left_only
jinhyungpark,Jin-hyung Park,sa3012378,,,,,,left_only
seungminkoo,Seung-min Koo,sa3012379,,,,,,left_only
seungtaekhan,Seung-taek Han,sa3012396,,,,,,left_only
jongsookim,Jong-soo Kim,sa3012399,,,,,,left_only
hyunsikjang,Hyun-sik Jang,sa3012411,,,,,,left_only
jungholim,Jung-ho Lim,sa3012412,,,,,,left_only
sangminlee,Sang-min Lee,sa3012413,,,,,,left_only
huidongkwon,Hui-dong Kwon,sa3012415,,,,,,left_only
youngpyoko,Young-pyo Ko,sa3012418,,,,,,left_only
minhyuckkim,Min-hyuck Kim,sa3012419,,,,,,left_only
woojunshim,Woo-jun Shim,sa3012420,,,,,,left_only
sangchulmoon,Sang-chul Moon,sa3012421,,,,,,left_only
minsubsong,Min-sub Song,sa3012423,,,,,,left_only
jaeminshim,Jae-min Shim,sa3012426,,,,,,left_only
sewoongpark,Se-woong Park,sa3012427,,,,,,left_only
joongyeolahn,Joong-yeol Ahn,sa3012428,,,,,,left_only
junwonjang,Jun-won Jang,sa3012436,,,,,,left_only
sukhwanyang,Suk-hwan Yang,sa3012438,,,,,,left_only
jungdaebae,Jung-dae Bae,sa3012441,,,,,,left_only
jiyeolim,Ji-yeol Im,sa3012449,,,,,,left_only
byeongwuklim,Byeong-wuk Lim,sa3012450,,,,,,left_only
yeongminha,Yeong-min Ha,sa3012451,,,,,,left_only
