name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Martin Perez,SP,ATL,35.0,,,,,93.98993,71.5,-22.48993,82.74496500000001,154.0,-60.01007
Walker Buehler,SP,FA,31.0,RW,contract,1.0,1.69,208.01713,267.0,58.98286999999999,237.508565,153.0,55.01713000000001
Jonah Tong,SP,NYM,23.0,MJ,aa,,0.0,91.74392,85.5,-6.243920000000003,88.62196,148.5,-56.75608
Quinn Mathews,SP,,,WCS,aa,,0.0,86.99640000000001,108.5,21.50359999999999,97.7482,146.5,-59.50359999999999
J.T. Ginn,SP,ATH,27.0,,,,,193.87755,191.5,-2.3775500000000136,192.688775,145.5,48.377550000000014
Sean Newcomb,SP/RP,CHW,33.0,,,,,210.723235,223.5,12.776764999999983,217.1116175,143.5,67.22323500000002
Stephen Kolek,SP,KCR,29.0,,,,,149.67172,137.5,-12.171719999999992,143.58586,140.5,9.171719999999992
David Festa,SP,MIN,26.0,ORl,aa,,0.0,129.12523,110.0,-19.125229999999988,119.562615,139.5,-10.374770000000012
Mitch Farris,SP,LAA,25.0,,,,,65.83476499999999,50.5,-15.33476499999999,58.1673825,138.5,-72.66523500000001
Cade Povich,SP,BAL,26.0,CR,aa,,0.0,94.278035,83.5,-10.778034999999988,88.8890175,138.5,-44.22196500000001
Jose Urena,SP/RP,FA,34.0,,,,,,,,,,
Trevor McDonald,SP,SFG,25.0,,,,,121.487425,112.0,-9.487425000000002,116.7437125,137.0,-15.512574999999998
Tink Hence,SP,,,SZ,aa,,0.0,18.66649,21.0,2.3335100000000004,19.833245,137.0,-118.33351
Jonathan Cannon,SP,CHW,25.0,YB,aaa_opt,1.0,0.0,205.041367,185.0,-20.041367000000008,195.0206835,135.0,70.04136700000001
Tyler Wells,SP,BAL,31.0,,,,,215.45187000000004,232.5,17.048129999999958,223.975935,132.0,83.45187000000004
Hayden Birdsong,SP/RP,SFG,24.0,DCT,aa,,0.0,124.19467000000002,120.0,-4.194670000000016,122.09733500000002,131.0,-6.805329999999984
Robby Snelling,SP,,,RW,aa,,0.0,214.865985,298.5,83.634015,256.6829925,131.0,83.865985
Tyler Gilbert,SP/RP,CHW,32.0,,,,,62.57511999999999,56.0,-6.575119999999991,59.28756,129.5,-66.92488
Christian Scott,SP,,,,,,,81.871675,83.5,1.6283250000000038,82.68583749999999,129.0,-47.128325
Trevor Williams,SP,WSN,34.0,,,,,57.4399255,70.0,12.5600745,63.71996275,128.5,-71.0600745
Osvaldo Bido,SP/RP,NYY,30.0,YB,aaa_opt,1.0,0.0,36.7431588,40.5,3.756841200000004,38.6215794,128.5,-91.7568412
Bailey Falter,SP,KCR,29.0,RW,aaa_opt,1.0,0.0,141.13975499999998,114.5,-26.63975499999998,127.8198775,128.0,13.13975499999998
